,Date/Time,Lat,Lon,Base,date,month,week,MonthDayNum,HourOfDay,DayOfWeekNum,DayOfWeek,Time,labels,labels_DBSCAN
74375,2014-06-06 00:35:00,40.7992,-73.9429,B02598,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
193247,2014-06-20 00:55:00,40.718,-73.9897,B02598,2014-06-20,6,25,20,0,5,Friday,Friday-0,5,0
135446,2014-06-13 00:13:00,40.7763,-73.9529,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
135505,2014-06-13 00:29:00,40.663,-73.9917,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,1,0
386003,2014-06-20 00:17:00,40.7422,-74.0008,B02617,2014-06-20,6,25,20,0,5,Friday,Friday-0,5,0
542933,2014-06-13 00:34:00,40.7442,-74.0067,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,5,0
74357,2014-06-06 00:27:00,40.741,-74.0055,B02598,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
542914,2014-06-13 00:25:00,40.7587,-73.9729,B02682,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
493158,2014-06-06 00:39:00,40.7345,-74.0059,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
433697,2014-06-27 00:10:00,40.7328,-73.9899,B02617,2014-06-27,6,26,27,0,5,Friday,Friday-0,5,0
493153,2014-06-06 00:35:00,40.7589,-73.9923,B02682,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
342156,2014-06-13 00:00:00,40.776,-73.949,B02617,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
5832,2014-06-06 00:47:00,40.7605,-73.9788,B02512,2014-06-06,6,23,6,0,5,Friday,Friday-0,2,0
632425,2014-06-27 00:38:00,40.7024,-73.9152,B02682,2014-06-27,6,26,27,0,5,Friday,Friday-0,1,0
135458,2014-06-13 00:14:00,40.6449,-73.7821,B02598,2014-06-13,6,24,13,0,5,Friday,Friday-0,4,0
